Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
			ID	AL rdfs:label@en	SC %	AL oboInOwl:hasExactSynonym@en SPLIT=|	AI skos:exactMatch SPLIT=|	AI skos:closeMatch SPLIT=|	AL IAO:0000115@en	AL rdfs:comment@en	AL IAO:0000116@en	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:hasDbXref SPLIT=|	AI oboInOwl:inSubset	AI oboInOwl:inSubset
aluminum			CHEBI:33628	aluminum												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum atom		CHEBI:28984	aluminum atom	aluminum										http://lod.bco-dmo.org/id/parameter/1982	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum atom	aluminium-26 atom	CHEBI:37969	aluminium-26 atom	aluminum atom											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum atom	aluminium-27 atom	CHEBI:37968	aluminium-27 atom	aluminum atom											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum atom	aluminium-28 atom	CHEBI:37970	aluminium-28 atom	aluminum atom											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum valence		CHEBI:60272	aluminum valence	aluminum						"CHEBI is inconsistent in what `X ion` terms it has: `barium valence`,`magnesium valence`,`strontium valence` but not not `nitrogen ion`"					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum valence	aluminide(1-)	CHEBI:30151	aluminide(1-)	aluminum valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum valence	aluminium(1+)	CHEBI:30150	aluminium(1+)	aluminum valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum valence	aluminium(3+)	CHEBI:49470	aluminium(3+)	aluminum valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	aluminum valence	aluminium(0)	CHEBI:33627	aluminium(0)	aluminum valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	dialuminium		CHEBI:30116	dialuminium	aluminum											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	dialuminium	dialuminide(1-)	CHEBI:30117	dialuminide(1-)	dialuminium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
aluminum	dialuminium	dialuminium(1+)	CHEBI:33621	dialuminium(1+)	dialuminium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
antimony			CHEBI:36922	antimony												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
antimony	antimony atom		CHEBI:30513	antimony atom	antimony											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
antimony	antimony atom	antimony-121 atom	CHEBI:52624	antimony-121 atom	antimony atom						"CHEBI:30304 is the only case (so far) where antimony(0), in the elemental antimony hierarchy is also superclass to the atom terms (antimony-121/3 atom)."					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
